Main District,Sub-Area,Latitude,Longitude
Addis Ketema,Addis Ketema Zone 1,9.0236913,38.7337122
Addis Ketema,Asco,9.0724916,38.6920762
Addis Ketema,Ferensay,9.0599154,38.7872513
Addis Ketema,Lideta Zone 2,9.0110809,38.7366684
Addis Ketema,Merkato,9.0309985,38.7370686
Addis Ketema,Piazza,9.034585,38.753376
Addis Ketema,Ras Desta,9.0117394,38.7594022
Addis Ketema,Sheraton,9.0204847,38.7598406
Addis Ketema,Teklehaymanot,9.0483229,38.8843436
Akaki-Kality,Akaki,8.9013695,38.8003557
Akaki-Kality,Bihere Tsige,8.95491,38.7533488
Akaki-Kality,Gelan,8.8802124,38.7687169
Akaki-Kality,Hana Mariam,8.931587,38.7427947
Akaki-Kality,Kaliti,8.9013695,38.8003557
Akaki-Kality,Kilinto,8.9001486,38.8134854
Akaki-Kality,Tuludimtu,8.8705115,38.8218958
Arada,Amist Kilo,9.037716,38.7626764
Arada,Arat Kilo,9.0329476,38.7633823
Arada,Jan Meda,9.0428425,38.7691586
Arada,Piassa,9.0336984,38.7547538
Arada,Senga Tera,9.012142,38.746739
Arada,Sidist Kilo,9.0442226,38.7603182
Ayat,Ayat,9.0345734,38.8460555
Ayat,Ayat 15,9.0345734,38.8460555
Ayat,Ayat 20,9.0462595,38.8800087
Ayat,Ayat 30,9.0345734,38.8460555
Ayat,Ayat 49,9.010764438,38.89454587
Ayat,Ayat Real Estate,9.0285696,38.8758452
Ayat,Ayat Zone 09,9.0145344,38.8742063
Ayat,Ayat Zone-05,9.0166007,38.8784869
Bole,Atlas,9.0014019,38.7820045
Bole,Bole 24,8.9867182,38.7933956
Bole,Bole Bulbula,8.9670841,38.7802242
Bole,Bole Gerji,9.0029208,38.7996178
Bole,Bole Homes,8.9875092,38.7972194
Bole,Bole Michael,8.9832153,38.7728548
Bole,Bole Rwanda,8.9877683,38.7845593
Bole,Gerji,8.9953787,38.8094849
Bole,Goro,8.9969606,38.8320534
Bole,Haya Hulet,9.0148988,38.7839669
Bole,Kidanemihret,8.8845345,38.7779425
Bole,Lamberet,9.0266738,38.8269457
Bole,Medhane Alem,9.0551492,38.753132
Bole,Olympia,9.0039145,38.7681189
Bole,Welo Sefer,8.9923961,38.7757037
Gulele,Ayer Tena,8.9940788,38.6905715
Gulele,Ayertena,8.9835747,38.6971482
Gulele,Entoto,9.0626389,38.761254
Gulele,Kebena,9.0348997,38.7786041
Gulele,Kolfe,9.0049643,38.6874854
Gulele,Menen,9.050297,38.7593686
Gulele,Sebara Babur,9.0386891,38.7480778
Gulele,Shiromeda,9.0605328,38.7613693
Gulele,Africa Avenue,9.0100343,38.7634496
Gulele,Beklobet,8.9982702,38.7618962
Kirkos,Ethio-China Friendship Road,8.9891946,38.860615
Kirkos,Gotera,8.9820782,38.7584682
Kirkos,Kazanchis,9.0159277,38.7712221
Kirkos,Lideta Condominium,9.0122402,38.7360208
Kirkos,Meskel Flower,8.9880118,38.7642638
Kirkos,Meskel Square,9.0102293,38.7606309
Kirkos,Mexico Square,9.0103817,38.7444829
Kirkos,Sarbet,8.9943201,38.7377689
Kirkos,Stadium Area,9.0431757,38.723931
Kirkos,Alem Bank,8.9989705,38.6777828
Kirkos,Asko,9.0655564,38.6934813
Kolfe Keranio,Kera,8.9847803,38.7502416
Kolfe Keranio,Kera Sefer,8.9808678,38.7621263
Kolfe Keranio,Kolfe Keranio,9.0164338,38.7171956
Kolfe Keranio,Repi,8.9781236,38.6839695
Kolfe Keranio,Total Bota,8.9594998,38.7641501
Kolfe Keranio,Ras Mekonnen Avenue,9.0115843,38.7515983
Kolfe Keranio,Sebategna,9.0291731,38.7329364
Kolfe Keranio,Teklehaimanot,9.0251582,38.7415367
Kolfe Keranio,Beshale,9.0109284,38.8376651
Lideta,Gofa,8.9847317,38.7501507
Lideta,Gofa Mazoria,8.9768663,38.7489926
Lideta,Jemo 1,8.9620862,38.7133991
Lideta,Jemo 2,8.9586005,38.6893799
Lideta,Jemo 3,8.9612241,38.7049938
Nifas Silk-Lafto,Kality Zone 1,8.9037834,38.7680749
Nifas Silk-Lafto,Kality Zone 2,8.9037834,38.7680749
Nifas Silk-Lafto,Lafto,8.9470577,38.7443279
Nifas Silk-Lafto,Lafto Condominium,8.954213,38.7463883
Nifas Silk-Lafto,Lebu,8.9611369,38.7254213
Nifas Silk-Lafto,Lebu 2,8.9611369,38.7254213
Nifas Silk-Lafto,Wello Sefer,8.9934694,38.774558
Nifas Silk-Lafto,Ayat 11,9.0345734,38.8460555
Nifas Silk-Lafto,Bole Arabsa,8.9777312,38.887717
Nifas Silk-Lafto,CMC,9.019766,38.8475773
Nifas Silk-Lafto,CMC Michael,9.019636,38.8395126
Nifas Silk-Lafto,Figa,9.0108915,38.8380608
Nifas Silk-Lafto,Goro 3,9.0020554,38.8423073
Nifas Silk-Lafto,Gulele Subcity,9.0565533,38.7525414
Nifas Silk-Lafto,Jacros,9.0063603,38.8195279
Yeka,Kotebe,9.0371282,38.8398518
Yeka,Lem Hotel,9.0177928,38.7956402
Yeka,Megenagna,9.0196149,38.8016732
Yeka,Shola Gebeya,9.0261984,38.7928876
Yeka,Summit,9.0027598,38.8421337
Yeka,Summit 1,9.0099202,38.8519373
Yeka,Summit 2,9.0036129,38.8590772
Yeka,Yeka Abado,9.0661627,38.8772707
